"id","points","naziv","adresa"
127,"0101000020E610000012E39ADA50E846404F4FE41999B42F40","LUKOIL","ALEJA GRADA BOLONJE 76"
128,"0101000020E61000009CA9668FFDE746402D50973462CD2F40","LUKOIL","ILICA 437"
129,"0101000020E6100000A333E71BFCE54640A78F60AD51CA2F40","LUKOIL","ZAGREBAČKA AVENIJA 11"
130,"0101000020E61000008365526E5BE74640B2B562D3D8E32F40","LUKOIL","ZAGORSKA ULICA 10"
131,"0101000020E6100000E3D0C9FC2AEB464029552CDCC40B3040","LUKOIL","ULICA RUDOLFA KOLAKA 1"
132,"0101000020E61000007227FC45D5E94640F92050B966183040","LUKOIL","ZAGREBAČKA CESTA 59"
133,"0101000020E61000001A7C7B86D9E446409DC99A4CED083040","LUKOIL","RADNIČKA CESTA 212A"
134,"0101000020E61000004DCA46EFADE346403645DB8CAE0D3040","LUKOIL","RADNIČKA CESTA 228"
135,"0101000020E610000074BE2152A8E34640A39CF3492A0E3040","LUKOIL","RADNIČKA CESTA 175"
136,"0101000020E61000003B2E8B127FE346400C0B28B3C5EC2F40","LUKOIL","AVENIJA DUBROVNIK 7"
137,"0101000020E6100000C770F5A3EEE246401283527256E72F40","LUKOIL","REMETINEČKA CESTA 100A"
138,"0101000020E61000001A9A6EB6D2E74640912E07B90CB82F40","ADRIA OIL","ULICA VELIMIRA ŠKORPIKA 10A"
139,"0101000020E61000008EC0C69FAFE34640AD9BD021F9A72F40","CRODIESEL","KERESTINEČKA 129A"
140,"0101000020E6100000DA3451ACDCE946402D6264520E153040","APIOS","ZAGREBAČKA CESTA 162"
141,"0101000020E61000001CF59AA20CEA464046498095A1193040","AGS HRVATSKA","ZAGREBAČKA CESTA 34"
142,"0101000020E610000085DFB77505E94640F9C4B462C4293040","AGS HRVATSKA","KOBILJAČKA CESTA 102"
143,"0101000020E610000085DFB77505E94640F9C4B462C4293040","GALIĆ-BENZ","SOBLINEČKA ULICA 46"
144,"0101000020E61000002EF1050F0EDF4640F674CE7F2A003040","NOVAK-BENZ","AVENIJA VEĆESLAVA HOLJEVCA 53 "
145,"0101000020E6100000DCB6480AC7DE464085FCC99E58DD2F40","EURO BENZ","ULICA DR. LUJE NALETILIĆA 94A"
